Date,Global,LATINO,REP DOM,Argentina,Bolivia,Brasil,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,México,Paraguay,Perú,Panamá,Uruguay,Venezuela
2013-07-15,3.46202,3.67385,3.77209,11.63991,3.08902,2.30499,1.77397,1.6209,3.05258,6.6378,4.03822,2.99715,7.15382,2.04298,2.63495,1.75289,1.9803,2.02312,10.08101
2013-07-16,3.42051,3.63349,3.79087,11.42263,3.10941,2.28357,1.74822,1.57286,3.06507,6.65217,4.06015,3.01861,7.17446,1.97177,2.65564,1.7407,1.95632,2.00879,9.98688
2013-07-17,3.34338,3.55632,3.83112,11.39333,2.86791,2.18982,1.69118,1.5051,3.0396,6.66785,4.0919,3.05516,7.21586,1.88431,2.6966,1.65588,1.94355,1.92808,9.72029
2013-07-18,3.20302,3.41861,3.83613,10.51633,2.82949,2.10265,1.62966,1.43537,2.95277,6.22078,4.04956,2.96558,7.17956,1.81428,2.65782,1.57383,1.81983,1.87512,9.23517
2013-07-19,3.25177,3.46632,3.87589,10.75285,2.87409,2.13492,1.59338,1.47054,3.00487,6.22955,4.09532,3.01264,7.22307,1.8462,2.70257,1.59903,1.87105,1.86283,9.45997
2013-07-22,3.21033,3.43465,3.87847,10.40164,2.87807,2.13655,1.55981,1.47746,2.93845,6.22461,4.07092,2.98686,7.22715,1.85651,2.70656,1.56466,1.87898,1.78292,9.4001
2013-07-23,3.18779,3.40222,3.86289,10.2537,2.85891,2.14182,1.54331,1.48147,2.91587,6.21478,4.04885,2.96524,7.20894,1.85378,2.48281,1.53301,1.829,1.75846,9.22835
2013-07-24,3.20124,3.41816,3.78229,10.62867,2.6365,2.16614,1.53379,1.54681,2.84537,6.16739,3.96945,2.76025,7.30725,1.85299,2.46733,1.56798,1.74976,1.6935,9.31373
2013-07-25,3.2773,3.46905,3.7785,10.92088,2.63515,2.23416,1.55751,1.58869,2.84238,6.18231,3.97568,2.75835,7.30596,1.88983,2.46585,1.6256,1.76736,1.73885,9.37279
2013-07-26,3.31728,3.55251,3.80394,11.06553,2.66398,2.35039,1.61087,1.68171,2.87905,6.21241,4.01398,2.76364,7.33594,1.97086,2.49672,1.71654,1.819,1.77981,9.51823
